kaupunkialusta_id;ontologyword_ids
1;214+326
2;868
4;473
5;473+868
7;214+326+868
11;214+326+868
12;214+326+868
14;214+326+473+868+915+961
16;214+326+577+868
21;214+326+868
23;214+326+868
24;214+326+868
25;214+326
26;214+326+914
27;214+326+473+868
28;214+326
29;214+326+914
30;214+326+914
32;214+326+914
33;214+326+914
36;214+326+914
38;326+914
39;214+326+914
40;214+326+914
41;214+326+914
42;214+326+914
43;214+326+914
45;326+914
46;214+326+914
47;214+326+914
48;214+326+914
50;214+326+914
51;214+326+914
52;914
53;914
54;914
55;914
56;914
58;326+914
59;914
61;214+326+914
62;326+914
63;326+914
64;214+326
65;214+326+577
67;214+326+577
68;214+326+914
69;214+919
70;214+326
71;214+326+577
72;214+326
73;473+916
76;214+577
77;214+326+577
78;214+326+577
79;214+577
80;214+239+326+577
83;473+916
85;577
86;577
87;577
89;577
91;577
92;577
94;577
95;577
102;914
105;961
107;214+326+473+961
108;916+961
110;914
114;214+326+914
115;914
121;326+473+868
123;214+326
124;473+868
126;214+326+868
127;214+868
128;326+473+868+917
130;868
132;473+490
133;473
135;868
137;473+868
138;473+961
139;473
140;473
141;214+326+473+961
143;917
144;868+920
146;868
147;868+920
151;473
156;214+326+961
157;326+961
158;214+326+961
160;961
161;961
162;214+326+961
163;868+915
164;917
166;869+919
167;868
168;868
169;473+490+961
171;961
172;214+326+961
173;214+326+961
174;214+326+961
176;214+961
177;214+326+961
179;961
181;961
182;961
185;915
187;473+961
188;214+326+473+961
189;326+473+916
192;473+961
193;868
194;868
195;868
196;214+326+961
197;961
198;961
199;961
200;473+961
201;961
203;961
204;214+326+577
206;214+326+577
207;239
209;239
213;868
214;473
215;473
216;214+326+473+916
217;473+916
218;214+239+326+473+918
219;961
220;326+473+961
221;961
222;961
226;473
227;473
228;473
229;473
233;473
234;473+961
238;961
239;473+961
240;961
241;868
242;868
243;868
244;868
245;868
246;868
248;868
249;868
250;473
251;326+473+918
254;917
256;473
258;473
260;917
261;917
262;473+864+917
263;473
266;917
267;917
269;490
270;864
272;214+326
273;326
274;214+326
276;473
279;915
281;915
283;239+326+868+915
286;868
288;326
289;214+326+914
290;214+326
291;214+326
292;326
293;214+326
295;214+326
297;914
298;961
304;214+326
306;214+326+577
307;214+326+577
310;917
313;915
315;915
316;915
317;915
322;915
324;915
325;915
331;326+868
332;473+915
335;490+915
336;473
337;473
338;961
341;214+326+868+915
342;473
343;473
344;214+326+914
345;473
346;473
347;473
348;868
349;868
350;214+326+868
354;914
362;577
363;214+577
364;473+916
365;868
367;915
370;915
372;915
373;915
375;961
378;961
379;961
380;961
382;473
383;473
384;239
388;869
389;869+919
390;214+326
391;214+326+577
392;214+326+577
394;214+326
396;214
398;214
399;214+326
403;214+326
406;214+326
408;326
409;868
411;868
412;917
413;961
416;214+473+915+916+918
418;868
419;239+326+868+961
